Aholehole
Sailfish
Salamanderfish
Salmon
Sandburrower
Sandfish
Sandperch
Sandroller
Sarcastic fringehead
Sardine
Sauger
Saury
Sawfish
Scat
Scissortail rasbora
Scorpionfish
Sculpin
Scup
Seahorse
Seamoth
Searobin
Sevan trout
Sergeant major
Shad
Shark
Sharksucker
Sheatfish
Sheepshead
Shiner
Shovelnose
Shrimpfish
Sillago
Silverside
Skate
Skilfish
Sleeper
Slickhead
Slimehead
Slipmouth
Smelt
Snailfish
Snakehead
Snapper
Snipefish
Snook
Soldierfish
Sole
Spadefish
Spearfish
Spiderfish
Spikefish
Spinefoot
Spinyfin
Splitfin
Spookfish
Sprat
Springfish
Squaretail
Squawfish
Squeaker
Squirrelfish
Stargazer
Steelhead
Stickleback
Stingfish
Stingray
Stonecat
Stonefish
Stoneroller
Sturgeon
Sucker
Sunfish
Surfperch
Surgeonfish
Swallower
Swamp-eel
Swampfish
Sweeper
Swordfish
Swordtail
Tailor
Taimen
Tang
Tapetail
Tarpon
Tarwhine
Telescopefish
Tench
Tenpounder
Tenuis
Tetra
Thornfish
Threadfin
Thread-tail
Tigerperch
Tilapia
Tilefish
Toadfish
Tommy ruff
Tompot blenny
Tonguefish
Tope
Topminnow
Torpedo
Torrent fish
Trahira
Treefish
Trevally
Triggerfish
Triplespine
Tripletail
Tripod fish
Trout
Trumpeter
Trumpetfish
Trunkfish
Tubeblenny
Tube-eye
Tube-snout
Tubeshoulder
Tui chub
Tuna
Turbot
Two spotted goby
Uaru
Unicorn fish
Vanjaram
Velvetfish
Vendace
Vermilion snapper
Vimba
Viperfish
Wahoo
Wallago
Walleye
Walleye pollock
Walu
Warmouth
Warty angler
Waryfish
Waspfish
Weatherfish
Weever
Weeverfish
Whalefish
Whiff
Whitebait
White croaker
Whitefish
Whiting
Wobbegong
Wolffish
Worm eel
Wormfish
Wrasse
Wrymouth
X-ray tetra
Yellowtail
Zander
Zebrafish
Ziege
Zingel
